,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/2/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,3/1/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/2/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/3/20,3/30/20,3/31/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,4/1/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,Country/Region,Lat,Long,Province/State
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,5,7,7,7,11,16,21,22,22,22,1,24,24,40,40,74,84,94,110,110,120,1,170,174,1,1,1,1,4,4,237,521,555,607,665,714,784,840,906,933,273,281,299,349,367,423,444,484,Afghanistan,33.0,65.0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,23,33,38,42,51,55,59,64,0,70,76,89,104,123,146,174,186,197,212,0,223,243,0,0,0,0,0,2,259,416,433,446,467,475,494,518,539,548,277,304,333,361,377,383,400,409,Albania,41.1533,20.1683,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,20,20,24,26,37,48,54,60,74,87,3,90,139,201,230,264,302,367,409,454,511,5,584,716,12,12,17,17,19,20,847,1761,1825,1914,1983,2070,2160,2268,2418,2534,986,1171,1251,1320,1423,1468,1572,1666,Algeria,28.0339,1.6596,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,39,39,53,1,75,88,113,133,164,188,224,267,308,334,1,370,376,1,1,1,1,1,1,390,601,601,638,646,659,673,673,696,704,428,439,466,501,525,545,564,583,Andorra,42.5063,1.5218,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,5,7,0,7,7,0,0,0,0,0,0,8,19,19,19,19,19,19,19,19,24,8,8,10,14,16,17,19,19,Angola,-11.2027,17.8739,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,3,3,3,7,7,7,7,0,7,7,0,0,0,0,0,0,7,19,21,21,23,23,23,23,23,23,9,15,15,15,15,19,19,19,Antigua and Barbuda,17.0608,-61.7964,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,19,31,34,45,56,68,79,97,0,128,158,266,301,387,387,502,589,690,745,1,820,1054,1,1,2,8,12,12,1054,1975,1975,2142,2208,2277,2443,2571,2669,2758,1133,1265,1451,1451,1554,1628,1715,1795,Argentina,-38.4161,-63.6167,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,8,18,26,52,78,84,115,1,136,160,194,235,249,265,290,329,407,424,1,482,532,1,1,1,1,1,1,571,937,967,1013,1039,1067,1111,1159,1201,1248,663,736,770,822,833,853,881,921,Armenia,40.0691,45.0382,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,0,6,9,19,32,39,39,53,62,71,77,0,78,80,0,0,0,0,0,0,84,103,103,103,102,103,103,103,103,103,87,91,93,96,96,96,99,100,Australia,-35.4735,149.0124,Australian Capital Territory
9,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,55,65,65,92,112,134,171,210,267,307,6,353,436,669,669,818,1029,1219,1405,1617,1791,13,2032,2032,22,22,26,28,38,48,2182,2822,2857,2857,2863,2870,2886,2897,2926,2926,2298,2389,2493,2580,2637,2686,2734,2773,Australia,-33.8688,151.2093,New South Wales
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,3,3,5,5,6,6,12,12,15,15,0,15,17,1,1,0,0,0,0,19,28,28,28,28,28,28,28,28,28,21,22,26,27,28,28,28,28,Australia,-12.4634,130.8456,Northern Territory
11,0,0,0,0,0,0,0,1,3,2,3,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,9,2,3,3,4,5,5,5,9,18,20,20,35,46,61,68,78,94,144,9,184,221,259,319,397,443,493,555,625,656,11,689,743,11,13,13,13,15,15,781,965,974,983,987,998,999,1001,1007,1015,835,873,900,907,921,934,943,953,Australia,-28.0167,153.4,Queensland
12,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,7,9,9,16,19,20,29,29,37,42,3,50,67,100,134,170,170,235,257,287,299,3,305,337,5,5,7,7,7,7,367,428,429,429,429,433,433,433,435,435,367,396,407,407,411,411,415,420,Australia,-34.9285,138.6007,South Australia
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,5,6,7,7,10,10,1,10,16,22,28,28,36,47,47,62,66,1,66,69,1,1,1,1,2,2,69,122,133,133,144,165,165,169,180,180,72,74,80,82,86,89,98,111,Australia,-41.4545,145.9707,Tasmania
14,0,0,0,0,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,7,18,21,21,36,49,57,71,94,121,121,9,121,229,355,355,411,466,520,574,685,769,9,821,917,10,10,10,11,11,15,968,1241,1265,1268,1281,1291,1299,1299,1302,1319,1036,1085,1115,1135,1158,1191,1212,1228,Australia,-37.8136,144.9631,Victoria
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,6,9,9,14,17,17,28,31,35,52,2,64,90,120,140,175,175,231,231,278,311,2,355,364,2,3,3,3,3,4,392,506,514,514,517,527,527,532,541,541,400,400,436,453,460,460,481,495,Australia,-31.9505,115.8605,Western Australia
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9,0,0,0,0,0,0,0,14,182,246,302,504,655,860,1018,1332,1646,2013,18,2388,2814,3582,4474,5283,5588,6909,7657,8271,8788,21,9618,10180,29,41,55,79,104,131,10711,13555,13806,13945,14041,14226,14336,14476,14595,14671,11129,11524,11781,12051,12297,12639,12942,13244,Austria,47.5162,14.5501,
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,11,15,15,23,28,28,28,44,3,44,53,65,72,87,93,122,165,182,209,3,273,298,3,6,6,9,9,9,359,991,1058,1098,1148,1197,1253,1283,1340,1373,400,443,521,584,641,717,822,926,Azerbaijan,40.1431,47.5769,
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,3,4,4,4,5,5,9,10,10,11,0,14,14,0,0,0,0,0,0,21,42,46,46,47,49,49,53,54,55,24,24,28,28,29,33,40,41,Bahamas,25.0343,-77.3963,
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,33,33,36,41,0,0,0,0,0,0,0,47,110,195,195,195,210,214,214,228,256,278,49,285,305,334,377,392,419,458,466,476,499,49,515,567,52,55,60,85,85,95,569,925,1040,1136,1361,1528,1671,1700,1740,1773,643,672,688,700,756,811,823,887,Bahrain,26.0275,50.55,
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,5,8,10,14,17,0,20,25,27,33,39,39,44,48,48,48,0,49,51,0,0,0,0,3,3,54,424,482,621,803,1012,1231,1572,1838,2144,56,61,70,88,123,164,218,330,Bangladesh,23.685,90.3563,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,5,6,14,17,18,18,18,24,26,33,0,33,34,0,0,0,0,0,0,34,67,68,71,72,72,73,75,75,75,46,51,52,56,60,63,63,66,Barbados,13.1939,-59.5432,
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9,9,12,27,27,27,36,36,51,51,1,69,76,76,81,81,86,86,94,94,94,1,152,152,6,6,6,6,6,6,163,1981,2226,2578,2919,3281,3728,4204,4779,4779,304,351,440,562,700,861,1066,1486,Belarus,53.7098,27.9534,
23,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,267,314,314,559,689,886,1058,1243,1486,1795,8,2257,2815,3401,3743,4269,4937,6235,7284,9134,10836,13,11899,12775,23,50,109,169,200,239,13964,26667,28018,29647,30589,31119,33573,34809,36138,37183,15348,16770,18431,19691,20814,22194,23403,24983,Belgium,50.8333,4.0,
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2,2,2,5,6,6,6,6,6,6,0,6,9,0,0,0,0,0,0,13,35,35,35,35,35,35,35,35,35,13,16,16,22,26,26,26,26,Benin,9.3077,2.3158,
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,3,3,4,0,4,4,0,0,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Bhutan,27.5142,90.4336,
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,10,10,11,11,12,12,0,15,19,24,27,29,32,43,61,74,81,0,97,107,0,0,0,0,0,0,115,268,275,300,330,354,397,441,465,493,123,132,139,157,183,194,210,264,Bolivia,-16.2902,-63.5887,
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,11,13,18,24,25,26,38,63,0,89,93,126,136,166,176,191,237,258,323,0,368,420,0,2,2,3,3,3,459,901,946,1009,1037,1083,1110,1167,1214,1268,533,579,624,654,674,764,804,858,Bosnia and Herzegovina,43.9159,17.6791,
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,2,31,38,52,151,151,162,200,321,372,621,2,793,1021,1546,1924,2247,2554,2985,3417,3904,4256,2,4579,5717,4,4,13,13,20,25,6836,19638,20727,22192,23430,25262,28320,30425,33682,36658,8044,9056,10360,11130,12161,14034,16170,18092,Brazil,-14.235,-51.9253,
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,37,40,50,54,56,68,75,0,78,83,88,91,104,109,114,115,120,126,0,127,129,0,0,0,0,0,1,131,136,136,136,136,136,136,136,136,137,133,134,135,135,135,135,135,135,Brunei,4.5353,114.7277,
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,23,41,51,52,67,92,94,0,127,163,187,201,218,242,264,293,331,346,0,359,399,0,0,0,0,4,4,422,635,661,675,685,713,747,800,846,878,457,485,503,531,549,577,593,618,Bulgaria,42.7339,25.4858,
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,15,15,20,33,0,40,64,75,99,114,146,152,180,207,222,0,246,261,0,0,0,0,0,0,282,443,484,497,497,528,542,546,557,565,288,302,318,345,364,384,414,443,Burkina Faso,12.2383,-1.5616,
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4,4,5,5,6,0,6,6,0,0,0,0,0,0,6,7,8,8,10,11,56,56,56,58,6,6,7,7,7,7,7,7,Cabo Verde,16.5388,-23.0418,
33,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,5,7,7,7,33,35,37,1,51,53,84,87,91,96,96,99,99,103,1,107,109,1,1,1,1,2,2,109,119,120,122,122,122,122,122,122,122,110,114,114,114,114,115,117,119,Cambodia,11.55,104.9167,
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,10,10,13,0,20,27,40,56,66,75,75,91,91,139,0,139,193,0,0,1,1,2,2,233,820,820,820,820,848,848,996,996,1017,306,509,555,650,658,658,730,730,Cameroon,3.8480000000000003,11.5021,
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,19,29,29,39,56,74,97,119,0,146,195,259,301,359,358,486,542,542,621,0,661,690,0,0,1,2,4,7,754,1451,1567,1567,1732,1870,1870,1996,2397,2562,969,969,1075,1181,1250,1373,1373,1423,Canada,53.9333,-116.5765,Alberta
36,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4,4,4,4,5,5,5,1,5,6,6,6,6,7,7,7,7,8,1,1,2,2,4,4,4,8,32,39,46,64,64,73,103,103,186,231,8,271,424,424,472,617,617,725,725,884,884,9,970,1013,12,13,21,21,27,32,1013,1370,1445,1445,1490,1490,1517,1561,1575,1618,1121,1174,1203,1203,1266,1266,1291,1336,Canada,49.2827,-123.1207,British Columbia
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,8,9,9,0,10,10,13,13,13,13,13,13,13,13,0,13,13,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,Canada,37.6489,-122.6655,Grand Princess
